mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__estimator__class_weight,param_clf__estimator__penalty,param_clf__estimator__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
24.198139429092407,1.2219141096537065,0.5683302084604899,0.021545733109353184,0.1767016940294795,,l1,saga,"{'clf__estimator__C': np.float64(0.1767016940294795), 'clf__estimator__class_weight': None, 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9465705551171443,0.9464513265150628,0.9461612478085026,0.9463943764802366,0.000171882902149297,30
22.84178113937378,0.22337435815141496,0.5498243172963461,0.0044210126278565924,24.658329458549105,,l1,saga,"{'clf__estimator__C': np.float64(24.658329458549105), 'clf__estimator__class_weight': None, 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9465658979329736,0.9464535349809962,0.9461633383082874,0.9463942570740858,0.00016960535672092867,31
35.709824005762734,3.3160219005638143,0.5624193350474039,0.007751494260613614,0.008632008168602538,,l1,saga,"{'clf__estimator__C': np.float64(0.008632008168602538), 'clf__estimator__class_weight': None, 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9466049406592629,0.946459447105352,0.9461590637434795,0.9464078171693648,0.00018565342931508246,4
47.309004068374634,26.342782065073923,0.5539112091064453,0.007565384283644051,0.002231010801867922,balanced,l1,saga,"{'clf__estimator__C': np.float64(0.002231010801867922), 'clf__estimator__class_weight': 'balanced', 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9462844210565865,0.9462305289071901,0.9459040911591287,0.9461396803743017,0.0001680333293745492,92
21.15382655461629,1.0282518900158466,0.5520510673522949,0.009037927193939125,4.0428727350273315,balanced,l1,saga,"{'clf__estimator__C': np.float64(4.0428727350273315), 'clf__estimator__class_weight': 'balanced', 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9464802495583869,0.946345535677806,0.9460853310117618,0.946303705415985,0.00016391561389962142,67
505.59209354718524,8.983873756867284,0.5687016646067301,0.01579138740026095,0.0013289448722869186,balanced,l2,saga,"{'clf__estimator__C': np.float64(0.0013289448722869186), 'clf__estimator__class_weight': 'balanced', 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9462265996566973,0.9460821602023478,0.9458351514214227,0.9460479704268225,0.0001616263917965258,95
18.46178325017293,1.8354423656127314,0.5560823281606039,0.004293868570696926,98.77700294007911,balanced,l2,saga,"{'clf__estimator__C': np.float64(98.77700294007911), 'clf__estimator__class_weight': 'balanced', 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9464802495583869,0.946345535677806,0.9460853310117618,0.946303705415985,0.00016391561389962142,67
33.17389464378357,1.5991998027769916,0.5659051736195883,0.007780743881802449,0.012329623163659839,,l1,saga,"{'clf__estimator__C': np.float64(0.012329623163659839), 'clf__estimator__class_weight': None, 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9466094792459836,0.9464674525114498,0.9461520530889961,0.9464096616154766,0.00019116225746232987,3
20.626296520233154,1.0787245319427043,0.5821746190388998,0.014603703048481836,0.06690421166498801,balanced,l1,saga,"{'clf__estimator__C': np.float64(0.06690421166498801), 'clf__estimator__class_weight': 'balanced', 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.946496416771037,0.9463585497583336,0.946081388334648,0.9463121182880062,0.0001725863297607637,50
20.250646988550823,0.7646521354940393,0.5513453483581543,0.0055846565845951,0.3905441275210791,,l1,saga,"{'clf__estimator__C': np.float64(0.3905441275210791), 'clf__estimator__class_weight': None, 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9465703189069584,0.9464467913127592,0.9461612478085026,0.9463927860094068,0.0001713130088280872,37
